time,state,V,label
1731652924,TooDark,9120,
1731653284,TooDark,9120,
1731653644,TooDark,9120,
1731654004,TooDark,9120,
1731654364,TooDark,9120,
1731654725,TooDark,9120,
1731655084,TooDark,9120,
1731655444,TooDark,9120,
1731655804,TooDark,9120,
1731656164,TooDark,9120,
1731656524,TooDark,9120,
1731656884,TooDark,9120,
1731657244,TooDark,9120,
1731657604,TooDark,9120,
1731657964,TooDark,9120,
1731658324,TooDark,9120,
1731658684,TooDark,9120,
1731659044,TooDark,9120,
1731659404,TooDark,9120,
1731659764,TooDark,9120,
1731660124,TooDark,9120,
1731660484,TooDark,9120,
1731660844,TooDark,9120,
1731661204,TooDark,9120,
1731661564,TooDark,9120,
1731661924,TooDark,9120,
1731662284,TooDark,9120,
1731662644,TooDark,9120,
1731663004,TooDark,9120,
1731663364,TooDark,9120,
1731663724,TooDark,9120,
1731664084,TooDark,9120,
1731664444,TooDark,9120,
1731664804,TooDark,9120,
1731665164,TooDark,9120,
1731665524,TooDark,9120,
1731665884,TooDark,9120,
1731666244,TooDark,9120,
1731666604,TooDark,9120,
1731666964,TooDark,9120,
1731667324,TooDark,9120,
1731667684,TooDark,9120,
1731668044,TooDark,9120,
1731668404,TooDark,9120,
1731668764,TooDark,9120,
1731669124,TooDark,9120,
1731669484,TooDark,9120,
1731669844,TooDark,9120,
1731670206,Flood,9264,NoFlood
1731670567,Flood,9264,Flood
1731670926,Flood,9264,Flood
1731671287,NoFlood,9280,Flood
1731671646,Flood,9264,Flood
1731672007,Flood,9264,Flood
1731672367,Flood,9264,Flood
1731672726,Flood,9264,Flood
1731673087,Flood,9264,Flood
1731673447,Flood,9264,Flood
1731673806,Flood,9264,Flood
1731674166,Flood,9264,Flood
1731674527,Flood,9264,Flood
1731674886,NoFlood,9280,Flood
1731675247,Flood,9264,Flood
1731675606,Flood,9264,Flood
1731675967,Flood,9264,Flood
1731676327,Flood,9264,Flood
1731676687,Flood,9264,Flood
1731677046,Flood,9264,Flood
1731677407,Flood,9264,Flood
1731677767,Flood,9264,Flood
1731678126,NoFlood,9280,Flood
1731678487,Flood,9264,Flood
1731678846,NoFlood,9280,Flood
1731679206,Flood,9264,Flood
1731679567,Flood,9264,Flood
1731679926,Flood,9264,Flood
1731680287,Flood,9264,Flood
1731680646,Flood,9264,Flood
1731681007,Flood,9264,Flood
1731681367,Flood,9264,Flood
1731681726,Flood,9264,Flood
1731682087,Flood,9264,Flood
1731682446,Flood,9264,Flood
1731682807,NoFlood,9280,Flood
1731683166,Flood,9264,Flood
1731683527,Flood,9264,Flood
1731683886,Flood,9264,Flood
1731684246,Flood,9264,Flood
1731684606,Flood,9264,Flood
1731684966,Flood,9264,Flood
1731685326,Flood,9264,Flood
1731685686,Flood,9264,Flood
1731686046,Flood,9264,Flood
1731686407,Flood,9264,Flood
1731686766,Flood,9264,Flood
1731687127,Flood,9264,Flood
1731687486,Flood,9264,Flood
1731687847,Flood,9264,Flood
1731688206,Flood,9264,Flood
1731688567,Flood,9264,Flood
1731688926,Flood,9264,Flood
1731689286,Flood,9264,Flood
1731689646,Flood,9264,Flood
1731690006,Flood,9264,Flood
1731690366,Flood,9264,Flood
1731690727,Flood,9264,Flood
1731691086,Flood,9264,Flood
1731691446,Flood,9264,Flood
1731691807,Flood,9264,Flood
1731692166,Flood,9264,Flood
1731692527,Flood,9264,Flood
1731692886,Flood,9264,Flood
1731693246,Flood,9264,Flood
1731693607,Flood,9264,Flood
1731693966,Flood,9264,Flood
1731694327,Flood,9264,Flood
1731694686,Flood,9264,Flood
1731695046,Flood,9264,Flood
1731695406,Flood,9264,Flood
1731695766,Flood,9264,Flood
1731696127,Flood,9264,NoFlood
1731696486,Flood,9264,NoFlood
1731696847,Flood,9264,Flood
1731697206,Flood,9264,Flood
1731697567,Flood,9264,Flood
1731697926,Flood,9264,Flood
1731698287,Flood,9264,Flood
1731698646,Flood,9264,Flood
1731699006,Flood,9264,Flood
1731699367,Flood,9264,Flood
1731699726,Flood,9264,Flood
1731700086,Flood,9264,Flood
1731700447,Flood,9264,Flood
1731700807,Flood,9264,Flood
1731701167,Flood,9264,Flood
1731701526,Flood,9264,Flood
1731701887,Flood,9264,Flood
1731702246,Flood,9264,Flood
1731702607,NoFlood,9280,Flood
1731702966,Flood,9264,Flood
1731703327,NoFlood,9280,Flood
1731703686,Flood,9264,Flood
1731704047,Flood,9264,Flood
1731704406,Flood,9264,Flood
